SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99935740,Genius,"Combo Teclado + Mouse Smart KM-8100 2.4 GHz WirelessNegro",1,3.990
99935965,Corsair,"Combo Teclado Gamer K55 Inglés + Mouse Gamer HarpoonRGB LED USB",3,41.990
99944794,Gamdias,"Combo Teclado Hermes E1C + Mouse Gamer Multi 3-in-1Brown Switch US Silver",2,34.990
99916613,Genius,Combo USB Teclado + Mouse KM-200,2,3.990
Componentes Electrónicos,,,,
99930547,PCF OEM,40-pin placa extensora FPC + cable FFC 200m,1,990
99930565,PCF OEM,Capacitor Electrolitico 4700uF 10V,2,490
99930462,PCF OEM,Resistores through-hole 2.2k 1/4W 5% - 25pcs,1,990
99930553,Adafruit,Shield para Arduino - 12 x Touch Capacitivo,1,4.990
Conectores de Red,,,,
99925642,Spektra,Faceplate dos puertos,3,490
9998176,Air802,Faceplate un puerto,1,490
99921696,Spektra,Faceplate un puerto,2,490
99925917,Tenda,Inyector PoE 10/100 15W 48V,1,2.990
99934876,Tripp Lite,"Juego Extensor Activo DisplayPort a HDMI sobre Cat5 / Cat6,45m",1,19.990
99943297,TPLink,Splitter PoE,1,5.990
Controles TV,,,,
99923542,RCA,Control Remoto RCR-3273,1,9.990
Cámaras IP,,,,
99916607,Genius,Camara IP SmartCam 220,10,9.990
99925633,AirLive,Carcaza de seguridad para camara Airlive BC-5010,1,5.990
99910549,DLink,Cámara IP Inalambrica DCS-2130,1,24.990
99916061,Opexia,Cámara IP Inalámbrica,1,19.990
99917110,DLink,Cámara IP Inalámbrica DCS-5020L,1,29.990
