SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99935912,Gear,LIQ - Desktop Intel Celeron J4005 4GB 1TB,1,60.792
99940145,Gear,LIQ - Desktop Intel Celeron J4005 4GB 1TB,1,60.792
99944121,Gear,LIQ - Desktop Intel Celeron J4005 4GB 1TB Windows 10,9,93.592
99947301,Gear,LIQ - Desktop Intel Celeron Prime j4005i 4GB 1TB,1,59.990
99946441,Gear,LIQ - Desktop Intel Core i3-10100 8GB 240GB SSD,1,156.792
99947517,Gear,LIQ - Desktop Intel Core i3-10105 4GB 1TB,2,131.990
99944946,Gear,LIQ - Desktop Intel Core i3-9100 4GB 1TB Windows 10,1,119.990
99946637,Gear,LIQ - Desktop Intel Core i3-9100 8GB 1TB,1,167.992
99948088,Gear,LIQ - Desktop Intel Core i5-11400 8GB 250GB SSD DVDRW,1,249.990
9999812,Gear,"XS-58a AMD Dual Core E350 / 2Gb / 500 / HD6310 / DVDRW/ TMP",1,47.991
Discos Duros PC,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99912396,Toshiba,Disco Duro 500GB Sata3 7200 rpm 32MB,1,7.992
99921708,WD,Disco Duro PC 500GB Blue [32 MB],1,15.992
Discos SSD,,,,
99928148,Crucial,"Unidad SSD 250GB Sata3 2.5"" MX500",1,22.990
Discos Servers,,,,
99911197,IBM,"Disco SAS 600GB 2.5""  SFF HS 10k (49Y2003)",1,63.992
9993739,IBM,Disco SATA 1Tb Simple-swap 3Gb/s (43W7622),1,39.992
99913900,HP,"Disco Sata 1TB Server 3.5"" (659337-B21)",2,39.992
99926487,HPE,"Disco Server 1TB SATA 7.2K LFF RW HDD(ML30/MicroServer)",1,31.992
99940329,HPE,"LIQ - Disco Server 1TB SATA 7.2K LFF RW HDD(ML30/MicroServer)",1,35.990
Dispositivos Portátiles,,,,
99925907,Microlab,Reproductor MP3 8GB Blanco,1,6.990
Dockings Notebooks,,,,
99935160,Spektra,Docking Portable USB C  UC-801,1,19.990
99946707,Kensington,Docking Station SD1650 USB-C 4K K34020WW,1,61.592
99949967,Spektra,LIQ - Docking Portable USB C  UC-301,1,9.488
Enclosure (Cofres),,,,
99928307,Spektra,"Cofre 2.5"" HDD SATA USB 3.0 Aluminio - SP-M250",1,5.591
Extensores de Red,,,,
99938424,TPLink,Extensor PLC (vía Red Eléctrica) AV1000 + Wi-Fi AC750,3,41.592
99920272,DLink,"Extensor PLC (vía Red Eléctrica) AV200 + WIFI N150 DHP-W221AV",6,27.992
99934659,TPLink,"Extensor PLC (vía Red Eléctrica) AV600 + WiFi N300 TL-4220KIT",2,31.992
99924919,TPLink,"Extensor PLC (vía Red Eléctrica) Kit Extensor/ReceptorAV500 + WiFi N300 TL-WPA4220KIT",1,28.792
